plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
58236,Marshalltown Generating Station,2024,IA,3498948.0,2250.46031369,2485.83332208,235.37300839000002,7,Closed,RI,1,NG,42.043333,-92.872778,5A,A,Cold,0.1383025,63.1,41.1,52.1,263.1998697098873,708.8
58236,Marshalltown Generating Station,2022,IA,2724002.0,1858.73851607,2065.5733184700002,206.8348024,5,Closed,RI,1,NG,42.043333,-92.872778,5A,A,Cold,0.1383025,58.4,36.0,47.2,278.79820189993904,708.8
58236,Marshalltown Generating Station,2021,IA,1921675.0,1412.97241988,1583.5846339900002,173.12951175999999,4,Closed,RI,1,NG,42.043333,-92.872778,5A,A,Cold,0.1383025,59.9,38.6,49.2,297.7589300870434,708.8
58236,Marshalltown Generating Station,2023,IA,3581966.0,2394.02577335,2625.4505991100004,231.42482576000003,6,Closed,RI,1,NG,42.043333,-92.872778,5A,A,Cold,0.1383025,62.1,39.9,51.0,313.8059884881969,708.8
55269,TVA Southaven Combined Cycle,2022,MS,4672632.0,2233.3919,2975.33226,745.72577,19,Closed,RI,3,NG,34.9939,-90.0378,3A,A,Mixed-Humid,0.173674303,74.2,53.8,64.0,1113.947101091546,903.9
55269,TVA Southaven Combined Cycle,2024,MS,4619131.0,1635.2971200000002,2028.9797600000002,386.11182,21,Closed,RI,3,NG,34.9939,-90.0378,3A,A,Mixed-Humid,0.173674303,74.1,56.0,65.1,1101.6484788874882,903.9
55269,TVA Southaven Combined Cycle,2023,MS,4499556.0,1468.73908,1964.62779,495.88871,20,Closed,RI,3,NG,34.9939,-90.0378,3A,A,Mixed-Humid,0.173674303,74.5,55.8,65.2,1190.1701895314181,903.9
55269,TVA Southaven Combined Cycle,2021,MS,4589289.0,2449.1602700000003,3266.80883,810.0777400000001,18,Closed,RI,3,NG,34.9939,-90.0378,3A,A,Mixed-Humid,0.173674303,72.9,54.7,63.8,1368.6581713499852,903.9
3161,Eddystone Generating Station,2024,PA,60769.0,109.85638361000001,195983.55366482,195877.47133498,50,Open,ON,2,NG,39.858,-75.323,4A,A,Mixed-Humid,0.176300101,67.5,50.3,58.9,1028.33184868683,861.6
3161,Eddystone Generating Station,2021,PA,16473.0,31.2296325,75543.534665,75512.30503250001,47,Open,ON,2,NG,39.858,-75.323,4A,A,Mixed-Humid,0.176300101,66.5,49.8,58.2,1188.6384207251313,861.6
